"Date","Open","High","Low","Close"
"19 Jan 2022","38011.90","38011.90","37236.15","37281.70"
"18 Jan 2022","38830.15","38990.55","38004.25","38091.75"
"17 Jan 2022","38764.65","38993.25","38486.35","38804.95"
"14 Jan 2022","38351.35","38892.65","38049.60","38826.85"
"13 Jan 2022","38768.85","38886.85","38151.05","38607.00"
"12 Jan 2022","38857.75","38902.80","38424.75","38604.75"
"11 Jan 2022","38186.95","38664.40","38138.00","38605.40"
"10 Jan 2022","38596.75","38621.90","37991.30","38212.20"
"07 Jan 2022","38140.15","38394.80","38003.15","38139.85"
"06 Jan 2022","38181.35","38206.60","37757.20","38009.00"
"05 Jan 2022","39261.55","39293.15","38409.25","38609.15"
"04 Jan 2022","39243.50","39446.70","38828.60","39370.70"
"03 Jan 2022","38752.60","39286.35","38752.55","39123.80"
"31 Dec 2021","38708.15","38861.1","38468.4","38701.00"
"30 Dec 2021","38231.15","38897.6","38153.35","38658.80"
"29 Dec 2021","38269.1","38484.9","38181.9","38274.65"
"28 Dec 2021","38184.6","38500.25","38164.45","38357.80"
"27 Dec 2021","37722.9","38029.3","37431","37988.50"
"24 Dec 2021","37657.15","37822.15","37417.65","37727.80"
"23 Dec 2021","37190.3","37528","37086.9","37362.80"
"22 Dec 2021","36853.85","37014.75","36669","36989.15"
"21 Dec 2021","36159.2","36970.55","36147.6","36627.15"
"20 Dec 2021","36411.85","36598.35","35559.3","35916.45"
"17 Dec 2021","36704.2","37013.25","36497.95","36647.90"
"16 Dec 2021","36078.3","36354.85","35979.15","36160.30"
"15 Dec 2021","36033.9","36060","35536.15","35737.20"
"14 Dec 2021","35946.75","36252.05","35637.85","36102.55"
"13 Dec 2021","36104.35","36507.3","35984.55","36050.55"
"10 Dec 2021","35820.05","35974.75","35652.2","35939.60"
"09 Dec 2021","35963.7","36114","35573.35","35946.35"
"08 Dec 2021","35584.8","36131.95","35576.85","35959.05"
"07 Dec 2021","35136.55","35384","34756.6","35272.30"
"06 Dec 2021","35835.45","35953.75","34828.15","34879.40"
"03 Dec 2021","36314.8","36518.8","35784.15","35848.05"
"02 Dec 2021","35504.8","36195.65","35418.25","36157.85"
"01 Dec 2021","35143","35652.2","35123.95","35428.95"
"30 Nov 2021","35018.9","35654.2","34918.6","35043.75"
"29 Nov 2021","34382.4","35104.35","33953.9","34870.75"
"26 Nov 2021","35024.7","35190.1","34512.6","34606.10"
"25 Nov 2021","34978","35365.75","34934.55","35300.25"
"24 Nov 2021","35627.95","35662.6","34828.3","34966.25"
"23 Nov 2021","35206","35645.45","34707.85","35504.40"
"22 Nov 2021","36097","36097","35224.55","35478.95"
"18 Nov 2021","36641.55","36702.4","35867.3","36007.00"
"17 Nov 2021","36623.75","36835.95","36431.25","36660.90"
"16 Nov 2021","36555.25","36794.25","36429.9","36643.85"
"15 Nov 2021","36391.1","36646.25","36302.95","36465.30"
"12 Nov 2021","35860.1","36378.05","35732.75","36332.25"
"11 Nov 2021","35626.65","35697","35141.3","35583.65"
"10 Nov 2021","35635.05","35862.45","35576.2","35722.95"
"09 Nov 2021","35839.2","36117.95","35763.85","35815.10"
"08 Nov 2021","35606","35852.5","35177.95","35782.35"
"04 Nov 2021","35403","35452.35","35302.45","35334.25"
"03 Nov 2021","35351.45","35525.75","35093.05","35177.10"
"02 Nov 2021","35334.25","35522.35","35076.15","35177.35"
"01 Nov 2021","34677.3","35328.55","34654.95","35289.95"
"29 Oct 2021","34820.3","35178.75","34288.55","34408.75"
"28 Oct 2021","35575.65","35575.65","34787.1","34913.60"
"27 Oct 2021","35245.05","35578","35163.05","35503.90"
"26 Oct 2021","35181.7","35699.85","34957.75","35162.35"
"25 Oct 2021","35467.1","35521.05","34529.85","35005.40"
"22 Oct 2021","35892.65","36297.2","35098.2","35394.65"
"21 Oct 2021","36988.9","36988.9","35624.5","35913.60"
"20 Oct 2021","37188.15","37463.9","36534.5","36846.80"
"19 Oct 2021","36841.6","37491.85","36720","37106.35"
"18 Oct 2021","36012","36400.6","35863.4","36306.35"
"14 Oct 2021","35921.45","36412.45","35571.4","35744.80"
"13 Oct 2021","35053.7","35324.45","34872.4","35285.60"
"12 Oct 2021","35179.2","35294.15","34512.8","34869.75"
"11 Oct 2021","35494.4","35690.4","34768.95","35179.95"
"08 Oct 2021","35920.55","36703.55","35786.3","36402.00"
"07 Oct 2021","35323.6","35903.95","35233.3","35703.85"
"06 Oct 2021","35689.55","35801.5","35003.05","35075.80"
"05 Oct 2021","34978.4","35650.85","34781.6","35544.30"
"04 Oct 2021","34923.8","35184.55","34778.25","35126.15"
"01 Oct 2021","34955.5","35100.9","34719.8","34780.60"
"30 Sep 2021","35394.9","35408.1","34975.6","35028.00"
"29 Sep 2021","34894.9","35578.3","34733.95","35282.65"
"28 Sep 2021","36082","36082","34924.55","35239.95"
"27 Sep 2021","37335.9","37345.05","35968.75","36034.40"
"24 Sep 2021","37128.75","37823.15","37055","37103.25"
"23 Sep 2021","36691.95","36867.45","36532.45","36816.90"
"22 Sep 2021","36154.05","36713.15","36145.95","36422.40"
"21 Sep 2021","35609.1","36127.8","35332.85","36086.05"
"20 Sep 2021","35462.4","36130.55","35346.2","35400.05"
"17 Sep 2021","35915.4","36131.25","35527","35646.50"
"16 Sep 2021","36151.35","36310.75","35694.85","35852.40"
"15 Sep 2021","35462.35","36200","35375.35","36075.20"
"14 Sep 2021","35224.25","35476.9","35020.7","35431.50"
"13 Sep 2021","34688.3","35242.5","34573.7","35129.60"
"09 Sep 2021","34676.2","34862.85","34530","34802.30"
"08 Sep 2021","34973.9","34979.3","34515.45","34678.20"
"07 Sep 2021","35549.3","35581.55","34906.85","34951.25"
"06 Sep 2021","34992.05","35464.4","34855.95","35415.10"
"03 Sep 2021","34744.45","34997.7","34490.65","34891.15"
"02 Sep 2021","34218.25","34846.9","34051.9","34680.30"
"01 Sep 2021","34698.75","34780","34037.15","34110.50"
"31 Aug 2021","34205.8","34680.65","34043.6","34570.20"
"30 Aug 2021","34338.75","34480.15","34027.5","34109.20"
"27 Aug 2021","34036.45","34392.85","33799.05","34309.80"
"26 Aug 2021","34092.9","34375.95","33929.7","34041.10"
"25 Aug 2021","33887.75","34399.85","33764.1","34083.95"
"24 Aug 2021","34145.25","34262.6","33634.75","33838.40"
"23 Aug 2021","33582.15","34153.4","33567.35","33919.80"
"20 Aug 2021","32954.2","33652.4","32949.9","33351.35"
"18 Aug 2021","33482.85","33840.45","33268.6","33448.90"
"17 Aug 2021","32614","33487.1","32449.65","33414.75"
"16 Aug 2021","32671.75","32905.35","32438.25","32577.95"
"13 Aug 2021","32308.85","32821.9","32264.15","32678.80"
"12 Aug 2021","31667.35","32289.85","31667.35","32245.10"
"11 Aug 2021","31767.9","31799.75","31522.4","31670.00"
"10 Aug 2021","31489.95","31812.75","31431.15","31713.35"
"09 Aug 2021","31523.5","31685.4","31324.75","31441.00"
"06 Aug 2021","31251.2","31460.3","31057.6","31303.30"
"05 Aug 2021","31025.15","31560.2","30980.9","31211.20"
"04 Aug 2021","31296.8","31338.8","30895.45","30977.10"
"03 Aug 2021","30974.75","31196.45","30872.35","31165.85"
"02 Aug 2021","30681.95","30832.3","30547","30803.00"
"30 Jul 2021","30546.85","30818.55","30438.35","30480.05"
"29 Jul 2021","30037.2","30406","30037.1","30371.40"
"28 Jul 2021","29934.05","29993.55","29510.35","29954.15"
"27 Jul 2021","29967.9","30048.35","29698.95","29892.55"
"26 Jul 2021","29886.2","30139.2","29859.6","29940.40"
"23 Jul 2021","29895.6","30059.7","29848.05","29894.30"
"22 Jul 2021","29335.7","29808.45","29335.7","29779.95"
"20 Jul 2021","29282.8","29410.5","28992","29252.50"
"19 Jul 2021","29248.3","29592.35","29167.35","29264.00"
"16 Jul 2021","29734.75","29734.75","29287.25","29400.25"
"15 Jul 2021","29303.35","29835.9","29284.8","29718.05"
"14 Jul 2021","28581.25","29376.9","28534.85","29339.85"
"13 Jul 2021","28674.7","28681.2","28381.9","28439.75"
"12 Jul 2021","28837.05","28854.55","28421.55","28532.35"
"09 Jul 2021","28669.2","28898.85","28549.25","28662.20"
"08 Jul 2021","28821.75","28934.45","28541.95","28748.95"
"07 Jul 2021","28708.6","28790.3","28381.3","28734.65"
"06 Jul 2021","28924","28986.1","28607.6","28649.40"
"05 Jul 2021","29117.45","29185.6","28907.75","28950.60"
"02 Jul 2021","28983.5","29028.35","28704","29007.95"
"01 Jul 2021","29193.05","29193.05","28953.05","29003.10"
"30 Jun 2021","29057.15","29311.55","29036.95","29168.00"
"29 Jun 2021","29049.65","29183.85","28934.15","28986.25"
"28 Jun 2021","29259.6","29259.6","28977.75","29068.55"
"25 Jun 2021","29176.75","29284","28874.6","29210.55"
"24 Jun 2021","28395.45","29098.95","28357.3","29048.00"
"23 Jun 2021","28719.65","28719.65","28229.35","28258.50"
"22 Jun 2021","28514.15","28656.4","28396.5","28523.55"
"21 Jun 2021","28224.1","28393.05","28083.75","28367.00"
"18 Jun 2021","28829.5","28934.05","28227.55","28445.60"
"17 Jun 2021","28355.15","28714.6","28343.05","28611.35"
"16 Jun 2021","28384.15","28600.2","28241.25","28448.85"
"15 Jun 2021","28384.7","28544.6","28325.9","28377.85"
"14 Jun 2021","28371.9","28467.35","28134.65","28314.10"
"11 Jun 2021","27866.25","28347.5","27820.5","28217.50"
"10 Jun 2021","27676.5","27822.1","27649.95","27798.00"
"09 Jun 2021","27691.3","27793.8","27436.35","27539.00"
"08 Jun 2021","27400.8","27732.35","27376.95","27623.80"
"07 Jun 2021","27078.4","27330.4","26997.8","27295.65"
"04 Jun 2021","27031.6","27167.5","26914.6","26996.75"
"03 Jun 2021","27088.45","27159.95","26855.2","26987.90"
"02 Jun 2021","27051.4","27118.7","26737.15","26939.65"
"01 Jun 2021","27216.75","27254.15","26953.5","27144.40"
"31 May 2021","27144.1","27203.9","26886.8","27115.05"
"28 May 2021","27238.1","27278.7","27041.9","27122.80"
"27 May 2021","26921.8","27350.25","26916.85","27164.80"
"26 May 2021","26450.7","26905.75","26380.5","26857.30"
"25 May 2021","26275.45","26550.55","26241.15","26393.90"
"24 May 2021","26150.6","26298.55","26095.4","26144.20"
"21 May 2021","26012.85","26154","25936.6","26105.30"
"20 May 2021","26075.4","26118.25","25821.55","25894.45"
"19 May 2021","25949.55","26262.7","25869.65","25982.80"
"18 May 2021","25898.9","26094.1","25840.55","25958.25"
"17 May 2021","25650.45","25770.5","25499.45","25703.55"
"14 May 2021","25896.2","25901.2","25461.95","25588.20"
"12 May 2021","26105.2","26105.2","25728.45","25855.45"
"11 May 2021","26098.9","26146.5","25968.1","26106.70"
"10 May 2021","26340.6","26390.8","26106.35","26273.45"
"07 May 2021","26378.8","26454.1","26180.25","26269.45"
"06 May 2021","25868.25","26387.65","25639.6","26258.70"
"05 May 2021","25670.55","25857.65","25564.6","25786.95"
"04 May 2021","25783.2","25801.25","25398.95","25489.00"
"03 May 2021","25544.85","25785.6","25427.9","25676.05"
"30 Apr 2021","25777.75","26154.3","25593.9","25664.45"
"29 Apr 2021","26162.2","26162.2","25827.15","25874.30"
"28 Apr 2021","25952.65","25992.5","25781.15","25962.10"
"27 Apr 2021","25737.2","25871.45","25686.95","25815.75"
"26 Apr 2021","25633.1","25887.1","25521.2","25680.30"
"23 Apr 2021","25746.45","25926.05","25531.95","25609.10"
"22 Apr 2021","25902.6","26055","25718.6","25826.70"
"20 Apr 2021","26495.6","26496.5","25736.45","25877.60"
"19 Apr 2021","26012.4","26524.65","25875.9","26236.90"
"16 Apr 2021","26183.45","26476.65","26131.2","26324.90"
"15 Apr 2021","25577","26084.15","25293.3","26010.85"
"13 Apr 2021","26737.7","26759.2","25513.4","25851.30"
"12 Apr 2021","27504.4","27524.6","26545.65","26727.80"
"09 Apr 2021","27322.05","27520.1","27109.95","27367.05"
"08 Apr 2021","26899.5","27413.55","26845.85","27148.40"
